,Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
2481,BUENOS AIRES,Tres Arroyos,San Mayol,--,--,--,--,--,--,--,SI,--
2482,BUENOS AIRES,Tres Arroyos,Tres Arroyos,SI,SI,SI,SI,SI,SI,SI,SI,SI
2483,BUENOS AIRES,Tres Arroyos,Villa Rodríguez (Est. Barrow),--,--,--,--,SI,--,--,--,--
2484,CORDOBA,Marcos Juárez,Marcos Juárez,SI,SI,--,SI,SI,SI,SI,SI,--
2485,CORDOBA,Marcos Juárez,Monte Buey,SI,--,--,--,SI,SI,SI,--,--
2486,CORDOBA,Marcos Juárez,Noetinger,--,--,--,--,--,--,--,--,--
2487,CORDOBA,Marcos Juárez,Saira,SI,--,--,--,--,--,SI,--,--
2488,CORDOBA,Marcos Juárez,Saladillo,--,--,--,--,--,--,SI,--,--
2489,CORDOBA,Marcos Juárez,Villa Elisa,SI,--,SI,--,--,--,SI,--,--
2490,CORDOBA,Minas,Ciénaga del Coro,--,--,--,SI,SI,--,SI,SI,--
2491,CORDOBA,Minas,El Chacho,--,--,--,SI,--,--,SI,SI,--
2492,CORDOBA,Minas,Estancia de Guadalupe,--,--,--,--,--,--,SI,SI,--
2493,CORDOBA,Minas,Guasapampa,--,--,--,--,--,--,--,SI,--
2494,CORDOBA,Minas,La Playa,--,--,--,--,--,--,SI,SI,--
2495,CORDOBA,Minas,San Carlos Minas,SI,--,--,SI,SI,SI,SI,SI,--
2496,CORDOBA,Minas,Talaini,--,--,--,--,--,--,--,SI,--
2497,CORDOBA,Minas,Tosno,--,--,--,--,--,--,--,SI,--
2498,CORDOBA,Pocho,Chancani,--,--,--,--,SI,--,SI,SI,--
2499,CORDOBA,Pocho,Las Palmas,--,--,--,--,--,--,--,SI,--
2500,CORDOBA,Pocho,Los Talares,--,--,--,--,--,--,--,SI,--
2501,CORDOBA,Río Seco,Chañar Viejo,--,--,--,--,--,--,--,--,--
2502,CORDOBA,Río Seco,Eufrasio Loza,--,--,--,--,--,--,--,--,--
2503,CORDOBA,Río Seco,Gütemberg,--,--,--,--,--,--,--,--,--
2504,CORDOBA,Río Seco,La Rinconada,--,--,--,--,SI,--,--,--,--
2505,CORDOBA,Río Seco,Los Hoyos,--,--,--,--,SI,--,--,--,--
2506,CORDOBA,Río Seco,Puesto de Castro,--,--,--,--,--,--,--,--,--
2507,CORDOBA,Río Seco,Rayo Cortado,--,--,--,--,--,--,--,SI,--
2508,CORDOBA,Río Seco,San Pedro de Gütemberg,--,--,--,--,--,--,--,--,--
2509,CORDOBA,Río Seco,Santa Elena,--,--,--,--,SI,--,--,--,--
2510,CORDOBA,Río Seco,Sebastián Elcano,--,--,--,SI,SI,SI,SI,--,--
2511,CORDOBA,Río Seco,Villa Candelaria,--,--,--,--,--,--,--,--,--
